
SUBJ	CRSE	SECTION	CRN	TITLE	CREDITS		M	T	W	TH	F	SAT	SUN	START	END	PROFESSOR	DISTRIBUTION	DJ	CLASS_CAP
CHI	101		91970	Beginning Chinese I	4		M	T	.	Th	F	.	.	1:30 PM	2:30 PM	Huiwen Li	FL 		22
CHI	201		91971	Intermediate Chinese I	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Shuangting Xiong	FL 		20
CHI	301		91972	Advanced Chinese I	4		.	.	W	.	F	.	.	10:10 AM	11:30 AM	Huiwen Li	FL 		22
CHI	315		91973	Chinese Calligraphy	4		.	.	.	.	F	.	.	3:30 PM	5:50 PM	Huiwen Li	None		16
CLAS	110		91974	Homer's Iliad and Odyssey	4		.	T	.	Th	.	.	.	11:50 AM	1:10 PM	Daniel Mendelsohn	LA 		22
CMSC	113		91906	Intro to Computing: Robotics	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	. TBA	MC 		18
CMSC	141	A	91907	Object-Oriented Programming	4		M	.	W	.	.	.	.	10:10 AM	11:30 AM	Rose Sloan	MC 		18
 	 		 			and	.	.	.	.	F	.	.	10:00 AM	12:00 PM				
CMSC	141	B	91908	Object-Oriented Programming	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Bob McGrail	MC 		18
 	 		 			and	.	.	.	.	F	.	.	12:00 PM	2:00 PM				
CMSC	190		92467	Programming Nature	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Kerri-Ann Norton	MC 		18
CMSC	201		91909	Data Structures	4		M	.	W	.	.	.	.	10:10 AM	11:30 AM	Sven Anderson	MC 		18
 	 		 			and	.	.	.	.	F	.	.	10:00 AM	12:00 PM				
CMSC	226		91910	Principles:Computing Systems	4		M	.	W	.	.	.	.	8:30 AM	9:50 AM	Sven Anderson	MC 		18
CMSC	251		91911	Introduction to Artificial Intelligence	4		M	.	W	.	.	.	.	11:50 AM	1:10 PM	Rose Sloan	MC 		18
CMSC	275		91913	Statistics for Computing	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Kerri-Ann Norton	MC 		18
 	 		 			and	.	.	.	.	F	.	.	12:00 PM	2:00 PM				
CMSC	305		91914	Design of Programming Languages	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Valerie Barr	MC 		18
 	 		 			and	M	.	.	.	.	.	.	1:30 PM	3:30 PM				
CMSC	321		91915	Databases: Theory & Practice	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	Bob McGrail	MC 		18
 	 		 			and	.	.	.	.	F	.	.	2:00 PM	4:00 PM				
CMSC	361		91932	Human-Robot Interaction	4		M	.	W	.	.	.	.	3:30 PM	4:50 PM	. TBA/Sven Anderson	MC 		18
 	 		 			and	.	.	.	.	F	.	.	3:30 PM	5:30 PM				
CNSV	100	AA	92191	Studio Instruction	4		.	.	.	.	.	.	.			Adele Anthony	PA 		5
CNSV	100	DA	92192	Studio Instruction	4		.	.	.	.	.	.	.			Demian Austin	PA 		5
CNSV	100	EC	92193	Studio Instruction	4		.	.	.	.	.	.	.			Edward Carroll	PA 		5
CNSV	100	ECB	92194	Studio Instruction	4		.	.	.	.	.	.	.			Eric Cha-Beach	PA 		5
CNSV	100	RC	92195	Studio Instruction	4		.	.	.	.	.	.	.			Richard Cox	PA 		5
CNSV	100	SC	92196	Studio Instruction	4		.	.	.	.	.	.	.			Sarah Cutler	PA 		5
CNSV	100	ED	92197	Studio Instruction	4		.	.	.	.	.	.	.			Elaine Douvas	PA 		5
CNSV	100	LF	92198	Studio Instruction	4		.	.	.	.	.	.	.			Luo Sha Fang	PA 		5
CNSV	100	MG	92199	Studio Instruction	4		.	.	.	.	.	.	.			Marc Goldberg	PA 		5
CNSV	100	MG2	92200	Studio Instruction	4		.	.	.	.	.	.	.			Marka Gustavsson	PA 		5
CNSV	100	BH	92201	Studio Instruction	4		.	.	.	.	.	.	.			Brian Hong	PA 		5
